Title,Hours Viewed,id,vote_average,vote_count,release_date,revenue,runtime,budget,original_language,original_title,overview,popularity,poster_path,genres,visualizaciones,budget_millions,budget_category
21 Bridges,2400000,535292,6.757,1778,2019-10-24,49939757,99.0,33000000,en,21 Bridges,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",16.605,/b40ApfKDPoJYbWepUs7f09Y3fD.jpg,"Crime, Action, Drama",24242.424242424244,33.0,Medio
21 Grams,100000,470,7.337,2865,2003-09-06,60427839,124.0,20000000,en,21 Grams,"Paul Rivers, an ailing mathematician lovelessly married to an English émigré; Christina Peck, an upper-middle-class suburban housewife and mother of two girls; and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives.",17.06,/hdS0to9nUpgK0Zm1bZAF6BWRae7.jpg,"Drama, Crime, Thriller",806.4516129032259,20.0,Medio
22 July,6900000,474354,7.098,1085,2018-10-04,0,143.0,20000000,en,22 July,"On 22 July 2011, neo-Nazi terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Utøya Island outside of Oslo. This three-part story focuses on the survivors, the political leadership of Norway, and the lawyers involved.",21.568,/rd940KzuIZwbdOvOUF7XDTzn8te.jpg,"History, Drama, Thriller, Crime",48251.74825174825,20.0,Medio
22 Jump Street,800000,187017,6.842,7460,2014-06-05,331333876,112.0,50000000,en,22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",23.367,/850chzYHYbT3IISl6Q7dbBuFP2B.jpg,"Crime, Comedy, Action",7142.857142857143,50.0,Alto
28 Days,4400000,10468,6.12,898,2000-04-06,6219894,103.0,43000000,en,28 Days,"After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction.",12.279,/tlgz7Shx0UavR5pyITeJ2mUHKFI.jpg,"Comedy, Drama",42718.446601941745,43.0,Medio
3 Days to Kill,100000,192102,6.068,1998,2014-02-14,53260230,113.0,28000000,en,3 Days to Kill,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.",25.75,/xhSoCoiMAXa4rOM7KhFSOs3gbh7.jpg,"Action, Drama, Thriller",884.9557522123894,28.0,Medio
30 Days of Night,5100000,4513,6.4,2511,2007-10-17,75505973,113.0,30000000,en,30 Days of Night,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",24.119,/7LwSrvFA0gz1KAlcrGcinoQPene.jpg,"Horror, Thriller",45132.74336283186,30.0,Medio
30 Minutes or Less,5400000,62206,5.744,1571,2011-08-11,40547440,83.0,28000000,en,30 Minutes or Less,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",24.317,/gkCO4bf8kDxF4wsUOMzhYk3Pgz2.jpg,"Action, Adventure, Comedy",65060.24096385542,28.0,Medio
300,3700000,1271,7.175,12812,2007-03-07,456082343,117.0,65000000,en,300,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",44.918,/h7Lcio0c9ohxPhSZg42eTlKIVVY.jpg,"Action, Adventure, War",31623.931623931625,65.0,Alto
3000 Miles to Graceland,600000,12138,5.813,575,2001-02-23,18720175,125.0,62000000,en,3000 Miles to Graceland,"It was an ingenious enough plan: rob the Riviera Casino's count room during an Elvis impersonator convention. But Thomas Murphy decided to keep all the money for himself and shot all his partners, including recently-freed ex-con Michael Zane. With $3.2 million at stake, the Marshals Service closing in, Michael must track down Murphy.",13.412,/nJgr5sGoXnsgZ0EVt80i6X9dQiA.jpg,"Action, Adventure, Comedy, Crime, Thriller",4800.0,62.0,Alto
300: Rise of an Empire,2200000,53182,6.093,6055,2014-03-05,337580051,102.0,110000000,en,300: Rise of an Empire,"Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",38.678,/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg,"Action, Drama, War",21568.62745098039,110.0,Alto
3:10 to Yuma,700000,5176,7.201,3247,2007-09-06,70016220,122.0,55000000,en,3:10 to Yuma,"In Arizona in the late 1800s, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to Yuma"", a train that will take the killer to trial.",21.659,/voMB69AsLnPNmtfbrBl0lbeFKDH.jpg,Western,5737.704918032787,55.0,Alto
